Episode,Step,State,Action,Reward,Penalty,Energy Efficiency
78,0,"[[0.0, 11.0, 0.0, 1.0, 0.0, 516.1290322580645, 0.0, 222.0]]",2,6.987577639751553,5,1.987577639751553
79,0,"[[0.0, 11.0, 0.0, 1.0, 0.0, 516.1290322580645, 0.0, 222.0]]",0,4.145347278090641,8.0,2.145347278090641
80,0,"[[0.0, 10.0, 0.0, 1.0, 0.0, 533.3333333333334, 0.0, 220.0]]",3,2.7321428571428577,9.5,2.232142857142857
80,1,"[[0.0, 12.0, 0.0, 1.0, 0.0, 500.0, 0.0, 224.0]]",2,-1.469155330591585,14.0,2.5308446694084155
80,2,"[[0.0, 9.0, 0.0, 1.0, 0.0, 551.7241379310345, 0.0, 218.0]]",2,-2.8544973544973544,15.5,2.6455026455026456
80,3,"[[0.0, 8.0, 0.0, 1.0, 0.0, 571.4285714285714, 0.0, 216.0]]",2,-4.230875735548633,17.0,2.769124264451367
80,4,"[[0.0, 7.0, 0.0, 1.0, 0.0, 592.5925925925926, 0.0, 214.0]]",5,-9.623047699451245,23.0,3.376952300548755
80,5,"[[0.0, 3.0, 0.0, 1.0, 0.0, 695.6521739130435, 0.0, 206.0]]",1,-28.434937611408202,52.0,3.5650623885918002
80,6,"[[0.0, 2.0, 1.0, 1.0, 0.0, 727.2727272727273, 0.0, 204.0]]",4,-28.434937611408202,52.0,3.5650623885918002
80,7,"[[0.0, 2.0, 1.0, 1.0, 0.0, 727.2727272727273, 0.0, 204.0]]",5,-23.09724238026125,46.0,2.9027576197387517
80,8,"[[0.0, 6.0, 1.0, 1.0, 0.0, 615.3846153846154, 0.0, 212.0]]",4,-18.310207336523128,41.5,3.1897926634768745
81,0,"[[2.0, 7.0, 1.0, 1.0, 727.2727272727273, 592.5925925925926, 204.0, 214.0]]",1,-16.907854050711194,40.0,3.092145949288806
82,0,"[[2.0, 8.0, 1.0, 1.0, 727.2727272727273, 571.4285714285714, 204.0, 216.0]]",3,0.5692845858722642,12.5,3.069284585872264
